,doi
747,10.1007/s11235-009-9151-3
748,10.2753/MIS0742-1222270108
749,10.1080/10580530701777115
750,10.1080/07408170701598116
751,10.1080/14719030701425761
752,10.1111/j.1539-6924.2007.00905.x
753,10.1155/2008/483267
754,10.1007/s10257-010-0136-2
755,10.1002/asmb.885
756,10.1080/07408170701245361
757,10.3794/ijme.81.210
758,10.1080/09511920600795472
759,10.1002/asmb.2042
760,10.1080/09544820802322557
761,10.1080/09585192.2014.919952
762,10.1287/mnsc.1040.0357
763,10.1111/j.1937-5956.2012.01339.x
764,10.1080/0144929X.2011.596996
765,10.1111/j.1365-2575.2007.00264.x
766,10.1061/(ASCE)0733-9364(2005)131:4(477)
767,10.1300/J109v12n01-10
768,10.1080/10580530.2012.687309
769,10.1287/deca.1080.0118
770,10.1080/03643100802293808
771,10.1287/isre.1110.0366
772,10.3233/IFS-141419
773,10.1002/nav.21589
774,10.3233/ISU-130700
775,10.1287/mnsc.1110.1467
776,10.1080/02664763.2011.567247
777,10.1287/isre.2013.0488
778,10.2753/JEC1086-4415120402
779,10.1080/09537325.2014.971004
780,10.1111/1468-0009.12093
781,10.1080/09585190500239077
782,10.1145/1435417.1435433
783,10.1111/j.1539-6924.2010.01429.x
784,10.1111/j.0275-1100.2005.00360.x
785,10.1080/00207543.2014.990233
786,10.1111/j.1468-0394.2006.00329.x
787,10.1002/isaf.286
788,10.1007/s40685-014-0005-9
789,10.1080/0961321052000327739
790,10.3233/WOR-152139
791,10.2105/AJPH.2013.301297
792,10.1002/sres.1084
793,10.1007/s10729-006-9002-7
794,10.1007/s10207-007-0029-7
795,10.1080/10580530.2014.890427
796,10.1145/2333112.2333118
797,10.1061/(ASCE)0733-9372(2005)131:7(1030)
798,10.2753/JEC1086-4415110102
799,10.3233/IFS-130900
800,10.1287/isre.1080.0206
801,10.1111/j.1745-493X.2009.03171.x
802,10.1080/00207540903150593
803,10.1080/17517570902777624
804,10.1007/s11235-010-9332-0
805,10.2753/MIS0742-1222300204
806,10.1080/02681102.2011.604083
807,10.1080/02678373.2012.734154
808,10.1080/00207543.2010.524259
809,10.1080/00207543.2015.1005763
810,10.1080/23750472.2015.1090885
811,10.1007/s10479-011-1011-3
812,10.1111/j.1748-5991.2007.00005.x
813,10.1080/10919390701290960
814,10.1287/mnsc.2013.1864
815,10.1111/abac.12060
816,10.1007/s11235-011-9532-2
817,10.3233/IKS-2009-0156
